,Utility,City,Zip,Tariff, Bill Before Solar , Bill Solar Only , Bill PV+ESS , Solar Savings , ESS Savings , pv + ess savings , Rate , is max ? 
44,Hawaiian Electric Co Inc,Honolulu Intl AP 911820,96850,TOU-R-CGSP," 10,662 "," 6,530 "," 5,940 "," 4,132 ", 590 ," 4,722 ",,
45,Hawaiian Electric Co Inc,Honolulu Intl AP 911820,96850,R-MED-CGSP," 7,099 "," 4,353 "," 4,042 "," 2,746 ", 312 ," 3,057 ",,
46,Hawaiian Electric Co Inc,Honolulu Intl AP 911820,96850,TOU EV," 7,248 "," 3,887 "," 3,884 "," 3,361 ", 3 ," 3,364 ",,
47,Hawaiian Electric Co Inc,Honolulu Intl AP 911820,96850,TOU-R-SE," 10,662 "," 6,468 "," 5,936 "," 4,193 ", 532 ," 4,726 ",,
48,Hawaiian Electric Co Inc,Honolulu Intl AP 911820,96850,R-SE," 7,100 "," 4,292 "," 4,038 "," 2,807 ", 254 ," 3,062 ",,
49,Hawaiian Electric Co Inc,Honolulu Intl AP 911820,96850,TOU-R-CSS," 7,037 "," 3,427 "," 2,773 "," 3,610 ", 654 ," 4,264 ",,
50,Hawaiian Electric Co Inc,Honolulu Intl AP 911820,96850,R-CGSP," 7,100 "," 4,354 "," 4,042 "," 2,746 ", 312 ," 3,058 ",,
51,Hawaiian Electric Co Inc,Honolulu Intl AP 911820,96850,R-MED-SE," 7,099 "," 4,292 "," 4,038 "," 2,807 ", 254 ," 3,061 ",,
52,Hawaiian Electric Co Inc,Honolulu Intl AP 911820,96850,TOU-R-CGS," 6,601 "," 3,917 "," 3,655 "," 2,684 ", 262 ," 2,946 ",,
53,Hawaiian Electric Co Inc,Honolulu Intl AP 911820,96850,TOU EV-SE," 7,248 "," 4,204 "," 3,881 "," 3,044 ", 323 ," 3,367 ",,
54,Hawaiian Electric Co Inc,Honolulu Intl AP 911820,96850,TOU-EV-CSS," 7,248 "," 4,204 "," 3,881 "," 3,044 ", 323 ," 3,367 ",,
55,Hawaiian Electric Co Inc,Honolulu Intl AP 911820,96850,TOU-RI," 6,610 "," 4,551 "," 3,798 "," 2,059 ", 753 ," 2,812 ",,
56,Hawaiian Electric Co Inc,Honolulu Intl AP 911820,96850,R," 7,099 "," 4,292 "," 4,038 "," 2,807 ", 254 ," 3,061 ",,
57,Hawaiian Electric Co Inc,Honolulu Intl AP 911820,96850,TOU-EV-CGS," 6,701 "," 3,829 "," 3,567 "," 2,872 ", 263 ," 3,135 ",,
58,Hawaiian Electric Co Inc,Honolulu Intl AP 911820,96850,R-CSS," 7,100 "," 4,292 "," 4,038 "," 2,807 ", 254 ," 3,062 ",,
59,Hawaiian Electric Co Inc,Honolulu Intl AP 911820,96850,TOU-R-ES," 10,662 "," 6,468 "," 5,936 "," 4,193 ", 532 ," 4,726 ",,
60,Hawaiian Electric Co Inc,Honolulu Intl AP 911820,96850,TOU EV-CGSP," 7,248 "," 4,265 "," 3,885 "," 2,983 ", 380 ," 3,363 ",,
61,Hawaiian Electric Co Inc,Honolulu Intl AP 911820,96850,R-CGS," 6,553 "," 3,918 "," 3,723 "," 2,635 ", 194 ," 2,830 ",,
62,Maui Electric Co Ltd,Kahului AP 911900,96733,TOU-R," 7,676 "," 4,162 "," 4,159 "," 3,514 ", 3 ," 3,517 ",,
63,Maui Electric Co Ltd,Kahului AP 911900,96733,TOU-R-CGSP," 7,671 "," 4,578 "," 4,166 "," 3,092 ", 412 ," 3,504 ",,
64,Maui Electric Co Ltd,Kahului AP 911900,96733,R-MED-CGSP," 7,483 "," 4,601 "," 4,252 "," 2,883 ", 349 ," 3,231 ",,
65,Maui Electric Co Ltd,Kahului AP 911900,96733,TOU-EV-CGSP," 7,594 "," 4,270 "," 4,036 "," 3,325 ", 234 ," 3,558 ",,
66,Maui Electric Co Ltd,Kahului AP 911900,96733,EV-R," 6,385 "," 3,369 "," 3,366 "," 3,016 ", 3 ," 3,019 ",,
67,Maui Electric Co Ltd,Kahului AP 911900,96733,TOU-RI," 7,056 "," 5,123 "," 4,398 "," 1,933 ", 725 ," 2,658 ",,
68,Maui Electric Co Ltd,Kahului AP 911900,96733,EV-R-CGS," 6,385 "," 3,606 "," 3,381 "," 2,778 ", 225 ," 3,003 ",,
69,Maui Electric Co Ltd,Kahului AP 911900,96733,TOU-R-CSS," 7,676 "," 4,155 "," 4,145 "," 3,521 ", 10 ," 3,531 ",,
70,Maui Electric Co Ltd,Kahului AP 911900,96733,EV-R-CSS," 6,385 "," 3,307 "," 3,304 "," 3,078 ", 3 ," 3,080 ",,
71,Maui Electric Co Ltd,Kahului AP 911900,96733,R-SE," 6,802 "," 4,212 "," 3,866 "," 2,589 ", 347 ," 2,936 ",,
72,Maui Electric Co Ltd,Kahului AP 911900,96733,TOU-R-CGS," 7,357 "," 4,282 "," 3,981 "," 3,075 ", 301 ," 3,376 ",,
73,Maui Electric Co Ltd,Kahului AP 911900,96733,TOU-RI-CGSP," 7,740 "," 3,526 "," 2,443 "," 4,214 "," 1,083 "," 5,297 ",,
74,Maui Electric Co Ltd,Kahului AP 911900,96733,R," 7,483 "," 4,229 "," 4,229 "," 3,254 ", (0)," 3,254 ",,
75,Maui Electric Co Ltd,Kahului AP 911900,96733,TOU-EV-CGS," 7,699 "," 4,446 "," 4,105 "," 3,253 ", 341 ," 3,594 ",,
76,Maui Electric Co Ltd,Kahului AP 911900,96733,R-MED-SE," 7,483 "," 4,727 "," 4,260 "," 2,756 ", 467 ," 3,223 ",,
77,Maui Electric Co Ltd,Kahului AP 911900,96733,TOU-RI-SE," 7,740 "," 3,383 "," 2,420 "," 4,358 ", 963 ," 5,321 ",,
78,Maui Electric Co Ltd,Kahului AP 911900,96733,R-CGSP," 6,802 "," 4,160 "," 3,862 "," 2,642 ", 298 ," 2,940 ",,
79,Maui Electric Co Ltd,Kahului AP 911900,96733,R-CGS," 7,171 "," 4,305 "," 4,067 "," 2,866 ", 238 ," 3,104 ",,
80,Maui Electric Co Ltd,Kahului AP 911900,96733,TOU-R-SE," 7,671 "," 4,156 "," 4,141 "," 3,515 ", 15 ," 3,529 ",,
81,Maui Electric Co Ltd,Kahului AP 911900,96733,TOU EV," 7,594 "," 4,046 "," 4,042 "," 3,548 ", 4 ," 3,552 ",,
82,Maui Electric Co Ltd,Kahului AP 911900,96733,R-CSS," 7,483 "," 4,729 "," 4,260 "," 2,754 ", 469 ," 3,223 ",,
83,National Grid - New York,New York-J F Kennedy Intl AP,14592,SC1," 1,919 "," 1,184 "," 1,184 ", 734 , (0), 734 ,,
84,National Grid - New York,New York-J F Kennedy Intl AP,14592,SC1-PSC," 1,773 "," 1,089 "," 1,089 ", 685 , (0), 685 ,,
85,National Grid - New York,New York-J F Kennedy Intl AP,14592,SC1C," 1,462 ", 870 , 848 , 592 , 23 , 615 ,,
86,National Grid - New York,New York-J F Kennedy Intl AP,14592,SC1V," 1,656 ", 943 , 941 , 713 , 1 , 714 ,,
87,New York State Elec & Gas Corp,Binghamton-Edwin A Link Field,13905,SC8," 1,299 ", 529 , 529 , 770 , 1 , 770 ,,
88,New York State Elec & Gas Corp,Binghamton-Edwin A Link Field,13905,SC1-PSC," 1,258 ", 540 , 540 , 718 , (0), 718 ,,
89,New York State Elec & Gas Corp,Binghamton-Edwin A Link Field,13905,SC1," 1,519 ", 657 , 656 , 862 , 0 , 862 ,,
90,New York State Elec & Gas Corp,Binghamton-Edwin A Link Field,13905,SC12," 1,325 ", 537 , 533 , 788 , 4 , 792 ,,
91,New York State Elec & Gas Corp,Binghamton-Edwin A Link Field,13905,SC11, 857 , 375 , 372 , 482 , 3 , 485 ,,
92,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,ORM-DDP," 1,266 ", 545 , 545 , 721 , 0 , 721 ,,
93,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,SSR," 1,201 ", 479 , 479 , 721 , (0), 721 ,,
94,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,LRS," 1,925 ", 767 , 767 ," 1,159 ", (0)," 1,159 ",,
95,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,RM-NEM," 1,914 ", 826 , 784 ," 1,088 ", 42 ," 1,130 ",,
96,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,RS-NEM," 2,047 ", 886 , 839 ," 1,161 ", 47 ," 1,208 ",,
97,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,RM," 1,920 ", 764 , 764 ," 1,155 ", (0)," 1,155 ",,
98,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,ORS-TOU-A-95PCT," 2,049 ", 924 , 566 ," 1,126 ", 358 ," 1,483 ",,
99,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,ORM-TOU-A-88PCT," 2,088 ", 956 , 620 ," 1,132 ", 336 ," 1,468 ",,
100,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,ORM-TOU-95PCT," 2,088 ", 941 , 622 ," 1,147 ", 319 ," 1,466 ",,
101,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,OLRS-REVRR-TOU," 1,840 ", 897 , 604 , 943 , 293 ," 1,236 ",,
102,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,LRS-NEM," 1,917 ", 828 , 786 ," 1,089 ", 43 ," 1,132 ",,
103,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,RS," 2,052 ", 817 , 817 ," 1,235 ", 0 ," 1,235 ",,
104,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,ORS-TOU-A," 2,049 ", 898 , 535 ," 1,152 ", 363 ," 1,515 ",,
105,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,ORS-REVRR-TOU," 2,052 ", 900 , 537 ," 1,152 ", 363 ," 1,515 ",,
106,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,ORS-TOU-B," 1,687 ", 799 , 532 , 888 , 267 ," 1,155 ",,
107,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,ORM-TOU," 1,846 ", 897 , 595 , 949 , 301 ," 1,251 ",,
108,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,OLRS-TOU-95PCT," 2,166 ", 946 , 564 ," 1,220 ", 383 ," 1,603 ",,
109,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,RM-95PCT," 1,920 ", 799 , 799 ," 1,121 ", 0 ," 1,121 ",,
110,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,RS-95PCT," 2,052 ", 854 , 854 ," 1,198 ", 0 ," 1,198 ",,
111,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,LRS-95PCT," 1,925 ", 801 , 801 ," 1,124 ", (0)," 1,124 ",,
112,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,OLRS-TOU," 2,166 ", 920 , 517 ," 1,247 ", 402 ," 1,649 ",,
113,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-7-TOU-EH-NEM2," 3,764 ", (361), (563)," 4,125 ", 201 ," 4,326 ",,
114,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-7-TOU-FERA-NEM2," 3,768 ", (367), (568)," 4,135 ", 201 ," 4,336 ",,
115,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-7-TOU," 3,765 ", (519), (696)," 4,284 ", 177 ," 4,461 ",,
116,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-6-TOU," 2,895 ", (356), (487)," 3,251 ", 131 ," 3,382 ",,
117,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-1-FERA," 4,058 ", (24), (24)," 4,082 ", 0 ," 4,082 ",,
118,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-6-TOU-FERA-NEM2," 2,895 ", (215), (391)," 3,111 ", 176 ," 3,286 ",,
119,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-6-TOU-CARE-NEM2," 1,757 ", (188), (305)," 1,944 ", 118 ," 2,062 ",,
120,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-9-TOU-EV-NEM2," 3,244 ", (114), (494)," 3,359 ", 379 ," 3,738 ",,
121,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-7-TOU-CARE-NEM2," 2,151 ", (518), (770)," 2,669 ", 252 ," 2,921 ",,
122,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-6-TOU-EH-NEM2," 2,895 ", (214), (390)," 3,109 ", 176 ," 3,285 ",,
123,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-9-TOU-EH-EV-NEM2," 3,243 ", (108), (489)," 3,352 ", 380 ," 3,732 ",,
124,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-1," 4,301 ", (54), (54)," 4,355 ", 0 ," 4,355 ",,
125,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-TOU-A-NEM2," 2,902 ", 0 , (80)," 2,901 ", 80 ," 2,982 ",,
126,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-6-TOU-EH," 2,895 ", (354), (485)," 3,249 ", 131 ," 3,380 ",,
127,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-TOU-B," 2,390 ", (89), (146)," 2,479 ", 57 ," 2,536 ",,
128,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-8-FERA," 3,086 ", (119), (119)," 3,205 ", 0 ," 3,205 ",,
129,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-TOU-A," 2,902 ", (140), (176)," 3,041 ", 36 ," 3,078 ",,
130,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-TOU-A-EH," 2,901 ", (138), (174)," 3,039 ", 36 ," 3,076 ",,
131,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-9-TOU-FERA-EV-NEM2," 3,244 ", (114), (494)," 3,359 ", 379 ," 3,738 ",,
132,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-7-TOU-NEM2," 3,765 ", (367), (568)," 4,132 ", 201 ," 4,333 ",,
133,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-TOU-B-NEM2," 2,415 ", 65 , (46)," 2,350 ", 111 ," 2,461 ",,
134,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-7-TOU-EH," 3,764 ", (513), (690)," 4,277 ", 177 ," 4,454 ",,
135,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-1-EH," 4,299 ", (44), (44)," 4,342 ", 0 ," 4,342 ",,
136,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-1-CARE," 2,702 ", (54), (54)," 2,756 ", 0 ," 2,756 ",,
137,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-6-TOU-NEM2," 2,895 ", (216), (392)," 3,112 ", 176 ," 3,287 ",,
138,PPL Electric Utilities Corp,Harrisburg Intl AP,17177,RTD (R)," 1,622 ", 786 , 786 , 837 , (0), 837 ,,
139,PPL Electric Utilities Corp,Harrisburg Intl AP,17177,RTS (R)," 1,594 ", 772 , 772 , 821 , (0), 821 ,,
140,PPL Electric Utilities Corp,Harrisburg Intl AP,17177,RS," 1,766 ", 856 , 856 , 910 , (0), 910 ,,
141,Rocky Mountain Power,Salt Lake City Intl AP,84144,1," 1,824 ", 584 , 584 ," 1,240 ", 0 ," 1,240 ",,
142,Rocky Mountain Power,Salt Lake City Intl AP,84144,3," 1,835 ", 713 , 616 ," 1,122 ", 97 ," 1,219 ",,
143,Rocky Mountain Power,Salt Lake City Intl AP,84144,2," 1,835 ", 560 , 502 ," 1,275 ", 59 ," 1,333 ",,
144,Sacramento Municipal Util Dist,Sacramento Metro AP,95899,"RSEH, RWEH"," 1,754 ", 512 , 512 ," 1,242 ", 0 ," 1,242 ",,
145,Sacramento Municipal Util Dist,Sacramento Metro AP,95899,R-TOD," 1,845 ", 639 , 462 ," 1,207 ", 176 ," 1,383 ",,
146,Sacramento Municipal Util Dist,Sacramento Metro AP,95899,RPEV_1," 1,630 ", 642 , 376 , 988 , 266 ," 1,254 ",,
147,Sacramento Municipal Util Dist,Sacramento Metro AP,95899,R-TOU," 1,833 "," 1,022 ", 606 , 811 , 416 ," 1,227 ",,
148,Sacramento Municipal Util Dist,Sacramento Metro AP,95899,RPEV_2," 2,220 "," 1,074 ", 493 ," 1,147 ", 580 ," 1,727 ",,
149,Sacramento Municipal Util Dist,Sacramento Metro AP,95899,EAPR_R, 949 , 310 , 219 , 639 , 92 , 731 ,,
150,Sacramento Municipal Util Dist,Sacramento Metro AP,95899,"RSGH, RWGH"," 1,754 ", 512 , 512 ," 1,242 ", 0 ," 1,242 ",,
151,Sacramento Municipal Util Dist,Sacramento Metro AP,95899,"RSCH, RWCH"," 1,754 ", 512 , 512 ," 1,242 ", 0 ," 1,242 ",,
152,Sacramento Municipal Util Dist,Sacramento Metro AP,95899,R," 2,440 ", 760 , 657 ," 1,680 ", 104 ," 1,783 ",,
153,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,DR-EH-NEM2," 6,214 ", 872 , 872 ," 5,343 ", 0 ," 5,343 ",,
154,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,DR-NEM2," 6,215 ", 871 , 871 ," 5,344 ", 0 ," 5,344 ",,
155,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,DR-TOU-SES," 3,642 ", 727 , 334 ," 2,915 ", 392 ," 3,308 ",,
156,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,DR-LI," 6,091 ", 732 , 732 ," 5,359 ", 0 ," 5,359 ",,
157,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,DR," 6,215 ", 746 , 746 ," 5,469 ", 0 ," 5,469 ",,
158,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,DR-TOU," 5,121 ", 689 , 595 ," 4,433 ", 94 ," 4,526 ", 1 ,
159,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,TOU-DR2-NEM2," 5,431 "," 1,006 ", 669 ," 4,424 ", 337 ," 4,762 ",,
160,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,DE-FERA," 6,214 ", 747 , 747 ," 5,467 ", 0 ," 5,467 ",,
161,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,DM," 6,216 ", 741 , 741 ," 5,475 ", 0 ," 5,475 ",,
162,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,DR-TOU-MB," 3,234 ", 434 , 376 ," 2,800 ", 58 ," 2,858 ",,
163,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,TOU-DR-LI-NEM2," 5,324 ", 803 , 690 ," 4,521 ", 114 ," 4,635 ",,
164,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,DR-MB," 3,925 ", 469 , 469 ," 3,455 ", 0 ," 3,455 ",,
165,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,DR-LI-NEM2," 6,091 ", 823 , 822 ," 5,268 ", 0 ," 5,269 ",,
166,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,DT-RV," 6,215 ", 745 , 745 ," 5,470 ", 0 ," 5,470 ",,
167,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,DR-TOU-DER-EH," 4,247 ", 587 , 493 ," 3,660 ", 94 ," 3,754 ",,
168,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,EV-TOU," 3,645 ", 753 , 295 ," 2,892 ", 458 ," 3,350 ",,
169,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,DR-TOU-EH," 5,121 ", 690 , 596 ," 4,432 ", 94 ," 4,525 ",,
170,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,DR-TOU-NEM2," 5,121 ", 814 , 713 ," 4,308 ", 100 ," 4,408 ",,
171,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,DR-TOU-DER," 4,247 ", 586 , 492 ," 3,661 ", 94 ," 3,755 ",,
172,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,DR-TOU-SES-NEM2," 3,642 ", 852 , 413 ," 2,790 ", 439 ," 3,229 ",,
173,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,DR-EH," 6,214 ", 747 , 747 ," 5,468 ", 0 ," 5,468 ",,
174,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,TOU-DR-NEM2," 5,397 ", 848 , 730 ," 4,549 ", 118 ," 4,667 ",,
175,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,EV-TOU-2," 3,642 ", 727 , 334 ," 2,915 ", 392 ," 3,308 ",,
176,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,DR-TOU-EH-NEM2," 5,121 ", 815 , 714 ," 4,307 ", 100 ," 4,407 ",,
177,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,TOU-DR-MB-NEM2," 3,432 ", 579 , 442 ," 2,852 ", 138 ," 2,990 ",,
178,Southern California Edison Co,Los Angeles Intl AP,90101,D-CARE-NEM2," 2,803 ", 412 , 412 ," 2,391 ", 0 ," 2,391 ",,
