,Date/Time,Load,Bill Before Solar,Solar,Net Load,Bill Solar Only,Import Rate,Export Rate,basic storage,soc
38, 01/02  15:00:00,1.07417085155,0.0591760722119,2.406607,-1.33243614845,-0.0334308229646,0.05509,0.02509,-1.33243614845,1.09547789535
39, 01/02  16:00:00,1.16386248186,0.0641171841257,1.449515,-0.28565251814,-0.00716702168013,0.05509,0.02509,0.0,1.09547789535
40, 01/02  17:00:00,1.47686404158,0.259455474825,0.238482,1.23838204158,0.217558957065,0.17568,0.14568,1.23838204158,0.962318536038
41, 01/02  18:00:00,2.07093356787,0.363821609203,0.0,2.07093356787,0.363821609203,0.17568,0.14568,2.07093356787,0.739637507234
42, 01/02  19:00:00,2.47760133901,0.435265003237,0.0,2.47760133901,0.435265003237,0.17568,0.14568,2.47760133901,0.473228761104
43, 01/02  20:00:00,2.44245133016,0.429089849683,0.0,2.44245133016,0.429089849683,0.17568,0.14568,2.44245133016,0.210599585818
44, 01/02  21:00:00,2.25068445883,0.395400245727,0.0,2.25068445883,0.395400245727,0.17568,0.14568,2.25068445883,-0.0314094957763
45, 01/02  22:00:00,2.04299697008,0.158945164272,0.0,2.04299697008,0.158945164272,0.0778,0.0478,0.0,-0.0314094957763
46, 01/02  23:00:00,1.67411883958,0.130246445719,0.0,1.67411883958,0.130246445719,0.0778,0.0478,0.0,-0.0314094957763
47, 01/02  24:00:00,1.31501158502,0.102307901315,0.0,1.31501158502,0.102307901315,0.0778,0.0478,0.0,-0.0314094957763
48, 01/03  01:00:00,0.944761899686,0.0735024757956,0.0,0.944761899686,0.0735024757956,0.0778,0.0478,0.0,-0.0314094957763
49, 01/03  02:00:00,0.7955039633,0.0618902083447,0.0,0.7955039633,0.0618902083447,0.0778,0.0478,0.0,-0.0314094957763
50, 01/03  03:00:00,0.725871795604,0.056472825698,0.0,0.725871795604,0.056472825698,0.0778,0.0478,0.0,-0.0314094957763
51, 01/03  04:00:00,0.705311079636,0.0548732019957,0.0,0.705311079636,0.0548732019957,0.0778,0.0478,0.0,-0.0314094957763
52, 01/03  05:00:00,0.719471116699,0.0559748528792,0.0,0.719471116699,0.0559748528792,0.0778,0.0478,0.0,-0.0314094957763
53, 01/03  06:00:00,0.77603892158,0.0603758280989,0.0,0.77603892158,0.0603758280989,0.0778,0.0478,0.0,-0.0314094957763
54, 01/03  07:00:00,1.05732851668,0.0822601585977,0.0,1.05732851668,0.0822601585977,0.0778,0.0478,0.0,-0.0314094957763
55, 01/03  08:00:00,1.44666796615,0.112550767766,0.323903,1.12276496615,0.0873511143665,0.0778,0.0478,0.0,-0.0314094957763
56, 01/03  09:00:00,1.33099585056,0.0733245614074,1.422883,-0.09188714944,-0.00230544857945,0.05509,0.02509,-0.09188714944,-0.0215291571269
57, 01/03  10:00:00,1.07457924313,0.059198570504,2.348478,-1.27389875687,-0.0319621198099,0.05509,0.02509,-1.27389875687,0.115449203827
58, 01/03  11:00:00,1.04497813611,0.0575678455183,2.914794,-1.86981586389,-0.046913680025,0.05509,0.02509,-1.86981586389,0.316504673062
59, 01/03  12:00:00,1.04896635814,0.0577875566699,3.122062,-2.07309564186,-0.0520139696543,0.05509,0.02509,-2.07309564186,0.53941818294
60, 01/03  13:00:00,1.03214748039,0.0568610046947,3.21935,-2.18720251961,-0.054876911217,0.05509,0.02509,-2.18720251961,0.774601249565
61, 01/03  14:00:00,1.00604036756,0.0554227638489,3.106341,-2.10030063244,-0.0526965428679,0.05509,0.02509,-2.10030063244,1.00044002725
62, 01/03  15:00:00,1.00949284344,0.0556129607451,2.44485,-1.43535715656,-0.0360131110581,0.05509,0.02509,0.0,1.00044002725
63, 01/03  16:00:00,1.0965185483,0.0604072068258,1.398607,-0.3020884517,-0.00757939925315,0.05509,0.02509,0.0,1.00044002725
64, 01/03  17:00:00,1.41303662389,0.248242274085,0.233501,1.17953562389,0.207220818405,0.17568,0.14568,1.17953562389,0.873608239731
65, 01/03  18:00:00,2.00382228517,0.352031499059,0.0,2.00382228517,0.352031499059,0.17568,0.14568,2.00382228517,0.658143477885
66, 01/03  19:00:00,2.42352747639,0.425765307052,0.0,2.42352747639,0.425765307052,0.17568,0.14568,2.42352747639,0.397549125585
67, 01/03  20:00:00,2.39043451097,0.419951534887,0.0,2.39043451097,0.419951534887,0.17568,0.14568,2.39043451097,0.140513156663
68, 01/03  21:00:00,2.19817830927,0.386175965373,0.0,2.19817830927,0.386175965373,0.17568,0.14568,2.19817830927,-0.0958501023978
69, 01/03  22:00:00,2.00070012242,0.155654469524,0.0,2.00070012242,0.155654469524,0.0778,0.0478,0.0,-0.0958501023978
70, 01/03  23:00:00,1.63675202163,0.127339307283,0.0,1.63675202163,0.127339307283,0.0778,0.0478,0.0,-0.0958501023978
