,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly total savings
28, 01/02  05:00:00,0.882701662037,0.0686741893065,0.0,0.882701662037,0.0686741893065,0.0778,0.0478,0.0,-0.0957173258049,0.882701662037,0.0686741893065,1.38777878078e-17,1141.72253889
29, 01/02  06:00:00,0.965498668135,0.0751157963809,0.0,0.965498668135,0.0751157963809,0.0778,0.0478,0.0,-0.0957173258049,0.965498668135,0.0751157963809,1.38777878078e-17,1141.72253889
30, 01/02  07:00:00,1.23719685965,0.0962539156808,0.0,1.23719685965,0.0962539156808,0.0778,0.0478,0.0,-0.0957173258049,1.23719685965,0.0962539156808,1.38777878078e-17,1141.72253889
31, 01/02  08:00:00,1.66619901717,0.129630283536,0.03257,1.63362901717,0.127096337536,0.0778,0.0478,0.0,-0.0957173258049,1.63362901717,0.127096337536,0.002533946,1141.72253889
32, 01/02  09:00:00,1.48781612826,0.0819637905058,0.902002,0.58581412826,0.0322725003258,0.05509,0.02509,0.0,-0.0957173258049,0.58581412826,0.0322725003258,0.04969129018,1141.72253889
33, 01/02  10:00:00,1.20137113863,0.0661835360271,2.031035,-0.82966386137,-0.0208162662818,0.05509,0.02509,-0.82966386137,-0.0120298322409,0.0,0.0,0.0661835360271,1141.72253889
34, 01/02  11:00:00,1.14776271576,0.0632302480112,2.478542,-1.33077928424,-0.0333892522416,0.05509,0.02509,-1.33077928424,0.122204751149,0.0,0.0,0.0632302480112,1141.72253889
35, 01/02  12:00:00,1.11494522268,0.0614223323174,3.027895,-1.91294977732,-0.047995909913,0.05509,0.02509,-1.91294977732,0.315162380898,0.0,0.0,0.0614223323174,1141.72253889
36, 01/02  13:00:00,1.06003799419,0.0583974930999,2.936052,-1.87601400581,-0.0470691914058,0.05509,0.02509,-1.87601400581,0.504394330543,0.0,0.0,0.0583974930999,1141.72253889
37, 01/02  14:00:00,1.02222851161,0.0563145687046,2.7239,-1.70167148839,-0.0426949376437,0.05509,0.02509,-1.70167148839,0.676040497579,0.0,0.0,0.0563145687046,1141.72253889
38, 01/02  15:00:00,1.02653392061,0.0565517536864,1.927787,-0.90125307939,-0.0226124397619,0.05509,0.02509,-0.90125307939,0.766949135152,0.0,0.0,0.0565517536864,1141.72253889
39, 01/02  16:00:00,1.11624891748,0.061494152864,1.322628,-0.20637908252,-0.00517805118043,0.05509,0.02509,-0.20637908252,0.787766419048,0.0,0.0,0.061494152864,1141.72253889
40, 01/02  17:00:00,1.44194018161,0.253320051105,0.264182,1.17775818161,0.206908557345,0.17568,0.14568,1.17775818161,0.668966945149,1.11022302463e-16,1.95043980966e-17,0.253320051105,1141.72253889
41, 01/02  18:00:00,2.05373010401,0.360799304672,0.0,2.05373010401,0.360799304672,0.17568,0.14568,2.05373010401,0.461808922649,0.0,0.0,0.360799304672,1141.72253889
42, 01/02  19:00:00,2.48905997297,0.437278056051,0.0,2.48905997297,0.437278056051,0.17568,0.14568,2.48905997297,0.21073954363,0.0,0.0,0.437278056051,1141.72253889
43, 01/02  20:00:00,2.48328865689,0.436264151242,0.0,2.48328865689,0.436264151242,0.17568,0.14568,2.48328865689,-0.0397476876055,0.0,0.0,0.436264151242,1141.72253889
44, 01/02  21:00:00,2.30724298933,0.405336448365,0.0,2.30724298933,0.405336448365,0.17568,0.14568,0.0,-0.0397476876055,2.30724298933,0.405336448365,-5.55111512313e-17,1141.72253889
