,Date/Time,Load,Bill Before Solar,Solar,Net Load,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,savings,yearly total savings
32, 01/02  09:00:00,1.3653477779,0.0752170090845,1.418323,-0.0529752221,-0.00132914832249,0.05509,0.02509,-0.0529752221,0.0862281732013,0.0222417869845,1463.74310634
33, 01/02  10:00:00,1.13818057929,0.0627023681131,2.386527,-1.24834642071,-0.0313210116956,0.05509,0.02509,-1.24834642071,0.21214782321,-1.1856440526,1463.74310634
34, 01/02  11:00:00,1.12344268133,0.0618904573145,2.857006,-1.73356331867,-0.0434951036654,0.05509,0.02509,-1.73356331867,0.387010892254,-1.67167286136,1463.74310634
35, 01/02  12:00:00,1.12529617695,0.0619925663882,3.084128,-1.95883182305,-0.0491470904403,0.05509,0.02509,-1.95883182305,0.584596605237,-1.89683925666,1463.74310634
36, 01/02  13:00:00,1.09993534424,0.0605954381142,3.429466,-2.32953065576,-0.058447924153,0.05509,0.02509,-2.32953065576,0.819574396651,-2.26893521765,1463.74310634
37, 01/02  14:00:00,1.07242701986,0.0590800045241,3.118169,-2.04574198014,-0.0513276662817,0.05509,0.02509,-2.04574198014,1.02592666384,-1.98666197562,1463.74310634
38, 01/02  15:00:00,1.07417085155,0.0591760722119,2.406607,-1.33243614845,-0.0334308229646,0.05509,0.02509,0.0,1.02592666384,0.0591760722119,1463.74310634
39, 01/02  16:00:00,1.16386248186,0.0641171841257,1.449515,-0.28565251814,-0.00716702168013,0.05509,0.02509,0.0,1.02592666384,0.0641171841257,1463.74310634
40, 01/02  17:00:00,1.47686404158,0.259455474825,0.238482,1.23838204158,0.217558957065,0.17568,0.14568,1.23838204158,0.901012112343,1.4978375164,1463.74310634
41, 01/02  18:00:00,2.07093356787,0.363821609203,0.0,2.07093356787,0.363821609203,0.17568,0.14568,2.07093356787,0.69211879096,2.43475517707,1463.74310634
42, 01/02  19:00:00,2.47760133901,0.435265003237,0.0,2.47760133901,0.435265003237,0.17568,0.14568,2.47760133901,0.44220523468,2.91286634225,1463.74310634
43, 01/02  20:00:00,2.44245133016,0.429089849683,0.0,2.44245133016,0.429089849683,0.17568,0.14568,2.44245133016,0.195837230129,2.87154117984,1463.74310634
44, 01/02  21:00:00,2.25068445883,0.395400245727,0.0,2.25068445883,0.395400245727,0.17568,0.14568,2.25068445883,-0.031187411937,2.64608470456,1463.74310634
45, 01/02  22:00:00,2.04299697008,0.158945164272,0.0,2.04299697008,0.158945164272,0.0778,0.0478,0.0,-0.031187411937,0.158945164272,1463.74310634
46, 01/02  23:00:00,1.67411883958,0.130246445719,0.0,1.67411883958,0.130246445719,0.0778,0.0478,0.0,-0.031187411937,0.130246445719,1463.74310634
47, 01/02  24:00:00,1.31501158502,0.102307901315,0.0,1.31501158502,0.102307901315,0.0778,0.0478,0.0,-0.031187411937,0.102307901315,1463.74310634
