,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly total savings
28, 01/02  05:00:00,0.744460026357,0.0579189900506,0.0,0.744460026357,0.0579189900506,0.0778,0.0478,0.0,0.0497158791894,0.744460026357,0.0579189900506,0.0,1277.52298812
29, 01/02  06:00:00,0.795176134855,0.0618647032917,0.0,0.795176134855,0.0618647032917,0.0778,0.0478,0.0,0.0497158791894,0.795176134855,0.0618647032917,6.93889390391e-18,1277.52298812
30, 01/02  07:00:00,1.06187418121,0.0826138112981,0.0,1.06187418121,0.0826138112981,0.0778,0.0478,0.0,0.0497158791894,1.06187418121,0.0826138112981,0.0,1277.52298812
31, 01/02  08:00:00,1.43928235019,0.111976166845,0.377886,1.06139635019,0.0825766360448,0.0778,0.0478,0.0,0.0497158791894,1.06139635019,0.0825766360448,0.0293995308,1277.52298812
32, 01/02  09:00:00,1.34302462799,0.073987226756,1.468634,-0.12560937201,-0.00315153914373,0.05509,0.02509,-0.12560937201,0.0623859905454,0.0,0.0,0.073987226756,1277.52298812
33, 01/02  10:00:00,1.09999122672,0.06059851668,2.244059,-1.14406777328,-0.0287046604316,0.05509,0.02509,-1.14406777328,0.177787141386,0.0,0.0,0.06059851668,1277.52298812
34, 01/02  11:00:00,1.07248683333,0.0590832996481,3.152233,-2.07974616667,-0.0521808313218,0.05509,0.02509,-2.07974616667,0.387569382173,4.4408920985e-16,1.11421982751e-17,0.0590832996481,1277.52298812
35, 01/02  12:00:00,1.05168186881,0.0579371541527,3.556066,-2.50438413119,-0.0628349978516,0.05509,0.02509,-2.50438413119,0.6401844961,0.0,0.0,0.0579371541527,1277.52298812
36, 01/02  13:00:00,1.03214748039,0.0568610046947,3.485493,-2.45334551961,-0.061554439087,0.05509,0.02509,-2.45334551961,0.887651388346,0.0,0.0,0.0568610046947,1277.52298812
37, 01/02  14:00:00,1.00604036756,0.0554227638489,3.029674,-2.02363363244,-0.0507729678379,0.05509,0.02509,-2.02363363244,1.09177360516,0.0,0.0,0.0554227638489,1277.52298812
38, 01/02  15:00:00,1.00949284344,0.0556129607451,2.221811,-1.21231815656,-0.0304170625481,0.05509,0.02509,0.0,1.09177360516,-1.21231815656,-0.0667866072449,0.12239956799,1277.52298812
39, 01/02  16:00:00,1.0965185483,0.0604072068258,1.146288,-0.0497694517,-0.00124871554315,0.05509,0.02509,0.0,1.09177360516,-0.0497694517,-0.00274179909415,0.06314900592,1277.52298812
40, 01/02  17:00:00,1.41303662389,0.248242274085,0.179116,1.23392062389,0.216775175205,0.17568,0.14568,1.23392062389,0.9673090731,0.0,0.0,0.248242274085,1277.52298812
41, 01/02  18:00:00,2.01627247994,0.354218749276,0.0,2.01627247994,0.354218749276,0.17568,0.14568,2.01627247994,0.76392936953,0.0,0.0,0.354218749276,1277.52298812
